stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
2510,HGU06A,Hauts de Guitres,44.83076400,-0.52101800,33167,,0,BHGUIT,1,1789,HGUI,HGU06A,2510,1789,Hauts de Guitres
1632,HBA51R,Henri Barbusse,44.85622400,-0.64217900,33281,,0,BHBARB,0,1790,HBAR,HBA51R,1632,1790,Henri Barbusse
9417,SCOHBR,Henri Brisson,44.81613100,-0.59285600,33522,,0,BSCOHBR,0,,,,,,
13099,DUB28R,Henri Dubedout,44.84681700,-0.51641300,33167,,0,BDUBED2,0,5622,DUB2,DUB28R,13099,5622,Henri Dubedout
13100,DUB28A,Henri Dubedout,44.84684200,-0.51647800,33167,,0,BDUBED2,0,5619,DUB2,DUB28A,13100,5619,Henri Dubedout
5906,PAS41A,Hermitage,44.84467172,-0.60291693,,,0,,0,1792,HERM,PAS41A,5906,1792,Hermitage
3032,CHE53R,Herriot (Centre Commercial),44.88398300,-0.69076300,33449,,0,BCHERIO,1,1795,CHER,CHE53R,3032,1795,Herriot Ccial
3033,CHE53A,Herriot (Centre Commercial),44.88432300,-0.69112800,33449,,0,BCHERIO,1,1796,CHER,CHE53A,3033,1796,Herriot Ccial
13083,CHE03R,Herriot Ccial,44.88373454,-0.69037902,,,0,,0,5599,CHER,CHE03R,13083,5599,Herriot Ccial
1090,MON91A,Herzog,45.01104300,-0.53262600,33004,,0,BMONT91,0,2835,MONT,MON91A,1090,2835,Herzog
2522,MON91R,Herzog,45.01111400,-0.53264300,33004,,0,BMONT91,0,2834,MONT,MON91R,2522,2834,Herzog
6915,HES11A,Hestigeac,44.84356100,-0.73752800,33281,,0,BHESTIG,0,1797,HEST,HES11A,6915,1797,Hestigeac
6916,HES11R,Hestigeac,44.84344300,-0.73755800,33281,,0,BHESTIG,1,1798,HEST,HES11R,6916,1798,Hestigeac
6653,HIL37R,Hilsz,44.90028200,-0.70449200,33449,,0,BHILSZ,0,1799,HILS,HIL37R,6653,1799,Hilsz
6654,HIL37A,Hilsz,44.90026900,-0.70459300,33449,,0,BHILSZ,0,1800,HILS,HIL37A,6654,1800,Hilsz
1565,CAN36R,Hippodrome,44.87367500,-0.63056100,33162,,0,BCANTE,0,2281,CANT,CAN36R,1565,2281,Hippodrome
2545,CAN36A,Hippodrome,44.87365900,-0.63021700,33069,,0,BCANTE,1,2279,CANT,CAN36A,2545,2279,Hippodrome
2570,HIP56A,Hippodrome,44.87755581,-0.62323151,,,0,,0,1806,HIPP,HIP56A,2570,1806,Hippodrome
